1, 20, 184, 255, 135, 95, 0, 146, 101, 0
2, 20, 50, 115, 0, 0, 0, 66, 28, 24
3, 125, 167, 222, 94, 71, 101, 149, 111, 125
1, 100, 116, 190, 135, 95, 0, 146, 101, 0
2, 44, 45, 82, 0, 0, 0, 66, 28, 24
1, 81, 148, 197, 114, 80, 0, 147, 102, 140
4, 56, 189, 234, 149, 116, 33, 172, 173, 63
4, 113, 207, 245, 135, 95, 0, 146, 101, 0
2, 44, 52, 97, 0, 0, 0, 66, 28, 24
1, 115, 197, 215, 135, 95, 0, 146, 101, 0
3, 219, 180, 179, 94, 71, 101, 149, 111, 125
1, 117, 176, 197, 90, 114, 149, 110, 210, 172
2, 47, 62, 90, 149, 116, 33, 172, 173, 63
4, 103, 197, 231, 139, 85, 0, 156, 108, 0
5, 53, 74, 101, 0, 0, 26, 147, 108, 127
2, 21, 69, 121, 0, 0, 20, 255, 255, 255
5, 20, 173, 246, 120, 83, 0, 137, 109, 10
3, 205, 149, 156, 94, 71, 101, 149, 111, 125
3, 45, 61, 88, 45, 0, 0, 76, 56, 32
